id, articulo, color, talle, stock
1,  1120, bordo, 35,15
2,  1120, bordo, 36,20
3,  1120, bordo, 37,25
4,  1120, bordo, 38,25
5,  1120, bordo, 39,30
6,  1120, bordo, 40,28
7,  1120, bordo, 41,23
8,  1120, bordo, 42,7
9,  1120, bordo, 43,12
10, 1120, bordo, 44,13
11, 1120, bordo, 45,9
12, 1120, negro, 35,15
13, 1120, negro, 36,24
14, 1120, negro, 37,45
15, 1120, negro, 38,42
16, 1120, negro, 39, 28
17, 1120, negro, 40, 28
18, 1120, negro, 41, 12
19, 1120, negro, 42, 15
20, 1120, negro, 43, 4
21, 1120, negro, 44, 0
22, 1120, negro, 45, 2
23, 1218, negro, 35, 22
24, 1218, negro, 36, 26
25, 1218, negro, 37, 29
26, 1218, negro, 38, 32
27, 1218, negro, 39, 37
28, 1218, negro, 40, 36
29, 1218, negro, 41, 40
30, 1218, negro, 42, 42
31, 1218, negro, 43, 41
32, 1218, negro, 44, 36
33, 1218, negro, 45, 38
34, 1218, negro/caramelo 35, 22
35, 1218, negro/caramelo, 36, 26
36, 1218, negro/caramelo, 37, 29
37, 1218, negro/caramelo, 38, 32
38, 1218, negro/caramelo, 39, 37
39, 1218, negro/caramelo, 40, 36
40, 1218, negro/caramelo, 41, 40
41, 1218, negro/caramelo, 42, 42
42, 1218, negro/caramelo, 43, 41
43, 1218, negro/caramelo, 44, 36
44, 1218, negro/caramelo, 45, 38
45, 1216, negro  35, 22
46, 1216, negro, 36, 26
47, 1216, negro, 37, 29
48, 1216, negro, 38, 32
49, 1216, negro, 39, 37
50, 1216, negro, 40, 36
51, 1216, negro, 41, 40
52, 1216, negro, 42, 42
53, 1216, negro, 43, 41
54, 1216, negro, 44, 36
55, 1216, negro, 45, 38
56, 040, negro  27, 2
57, 040, negro, 28, 6
58, 040, negro, 29, 2
59, 040, negro, 30, 0
60, 040, negro, 31, 0
61, 040, negro, 32, 3
62, 040, negro, 33, 8
63, 040, negro, 34, 12
64, 040, negro  35, 22
65, 040, negro, 36, 26
66, 040, negro, 37, 29
67, 040, negro, 38, 32
68, 040, negro, 39, 37
69, 040, negro, 40, 36
70, 040, negro, 41, 40
71, 040, negro, 42, 42
72, 040, negro, 43, 41
73, 040, negro, 44, 36
74, 040, negro, 45, 38
75, 040, blanco  27, 2
76, 040, blanco, 28, 6
77, 040, blanco, 29, 2
78, 040, blanco, 30, 0
79, 040, blanco, 31, 0
80, 040, blanco, 32, 3
81, 040, blanco, 33, 8
82, 040, blanco, 34, 12
83, 040, blanco  35, 22
84, 040, blanco, 36, 26
85, 040, blanco, 37, 29
86, 040, blanco, 38, 32
87, 040, blanco, 39, 37
88, 040, blanco, 40, 36
89, 040, blanco, 41, 40
90, 040, blanco, 42, 42
91, 040, blanco, 43, 41
92, 040, blanco, 44, 36
93, 040, blanco, 45, 38
94,042, negro  35, 22
95,042, negro, 36, 26
96,042, negro, 37, 29
97,042, negro, 38, 32
98,042, negro, 39, 37
99,042, negro, 40, 36
100,042, negro, 41, 40
101,042, negro, 42, 42
102,042, negro, 43, 41
103,042, negro, 44, 36
104,042, negro, 45, 38
